date,value,classification,total_pnl,avg_pnl_per_trade,trade_count
2023-05-01,63,Greed,0.0,0.0,3
2023-12-05,75,Extreme Greed,0.0,0.0,9
2023-12-14,72,Greed,-205.43473700000007,-18.675885181818188,11
2023-12-15,70,Greed,-24.632033999999997,-12.316016999999999,2
2023-12-16,67,Greed,0.0,0.0,3
2023-12-17,73,Greed,304.982785,21.78448464285714,14
2023-12-18,65,Greed,0.0,0.0,2
2023-12-19,73,Greed,1000.5386120000001,66.70257413333334,15
2023-12-20,74,Greed,162.732282,9.040682333333333,18
2023-12-21,70,Greed,537.211402,10.963498000000001,49
2023-12-22,74,Greed,141.832675,14.1832675,10
2023-12-23,70,Greed,146.936704,11.302823384615383,13
2023-12-24,71,Greed,1008.619956,25.862050153846155,39
2023-12-25,73,Greed,-245.081348,-81.69378266666666,3
2023-12-27,73,Greed,-704.8892269999999,-25.174615249999995,28
2023-12-28,73,Greed,-970.730876,-42.20569026086957,23
2023-12-29,65,Greed,508.92214299999995,10.178442859999999,50
2023-12-30,68,Greed,354.998648,6.826897076923077,52
2024-01-01,65,Greed,-129.53146,-7.196192222222223,18
2024-01-02,71,Greed,783.979116,46.11641858823529,17
2024-01-03,70,Greed,866.015507,12.925604582089552,67
2024-01-04,68,Greed,-67.60364,-13.520728,5
2024-01-05,72,Greed,164.141565,2.486993409090909,66
2024-01-06,70,Greed,135.58166400000002,6.16280290909091,22
2024-01-07,71,Greed,-835.681235,-8.615270463917525,97
2024-01-08,71,Greed,-269.874439,-2.1083940546875,128
2024-01-09,76,Extreme Greed,-826.349863,-11.804998042857143,70
2024-01-10,73,Greed,-1517.091342,-7.860576901554404,193
2024-01-11,76,Extreme Greed,-164.08950099999998,-7.813785761904761,21
2024-01-12,71,Greed,-1925.519024,-275.0741462857143,7
2024-01-15,52,Neutral,152.85358,10.918112857142857,14
2024-01-16,64,Greed,-2299.171458,-255.4634953333333,9
2024-01-17,60,Greed,813.2741110000001,15.344794547169812,53
2024-01-18,63,Greed,68.93319,1.4985476086956522,46
2024-01-19,51,Neutral,-385.419235,-8.029567395833334,48
2024-01-20,52,Neutral,-146.57487000000003,-1.3827817924528305,106
2024-01-21,56,Greed,266.58114600000005,24.234649636363642,11
2024-01-22,55,Greed,1375.640959,16.18401128235294,85
2024-01-23,50,Neutral,-369.2447299999998,-8.20543844444444,45
2024-01-24,48,Neutral,-2808.353815,-41.29932080882353,68
2024-01-25,52,Neutral,-3093.6293849999997,-515.6048975,6
2024-01-26,49,Neutral,90.2,18.04,5
2024-01-28,54,Neutral,-2478.06972,-225.27906545454545,11
2024-01-29,55,Greed,486.562542,6.5751694864864865,74
2024-01-30,61,Greed,-173.65419100000003,-3.5439630816326537,49
2024-01-31,60,Greed,-799.840817,-0.93113017112922,859
2024-02-01,63,Greed,0.0,0.0,6
2024-02-02,63,Greed,456.423473,10.867225547619048,42
2024-02-03,60,Greed,223.30918699999998,3.9876640535714283,56
2024-02-04,60,Greed,47.62389499999999,1.360682714285714,35
2024-02-05,60,Greed,-33.45419400000003,-0.4646415833333337,72
2024-02-06,64,Greed,-215.615907,-0.19817638511029412,1088
2024-02-07,62,Greed,241.24212,16.082808,15
2024-02-08,66,Greed,770.756024,77.07560240000001,10
2024-02-11,71,Greed,983.443176,28.924799294117648,34
2024-02-12,70,Greed,913.8817869999998,57.11761168749999,16
2024-02-13,79,Extreme Greed,559.44389,39.960277857142856,14
2024-02-14,74,Greed,3830.599833,34.509908405405405,111
2024-02-15,72,Greed,1840.797677,29.219010746031746,63
2024-02-16,72,Greed,5491.768834,30.174554032967034,182
2024-02-17,76,Extreme Greed,1929.6418,20.52810425531915,94
2024-02-18,72,Greed,477.6248299999999,4.923967319587628,97
2024-02-19,75,Extreme Greed,4317.768563,42.750183792079206,101
2024-02-20,72,Greed,3263.628824,83.68279035897436,39
2024-02-21,78,Extreme Greed,1858.7985700000002,84.49084409090909,22
2024-02-22,74,Greed,3894.1050699999996,44.25119397727272,88
2024-02-23,76,Extreme Greed,1418.55293,9.91995055944056,143
2024-02-25,74,Greed,-30.7705,-6.1541,5
2024-02-26,72,Greed,4416.8473,113.25249487179488,39
2024-02-27,79,Extreme Greed,888.511733,14.103360841269842,63
2024-02-28,82,Extreme Greed,2503.747235,55.63882744444444,45
2024-02-29,80,Extreme Greed,9813.996992,84.60342234482759,116
2024-03-01,80,Extreme Greed,8244.241409,60.176944591240876,137
2024-03-02,80,Extreme Greed,230.90060000000005,7.448406451612905,31
2024-03-03,83,Extreme Greed,8361.086245,105.83653474683545,79
2024-03-04,82,Extreme Greed,27799.775742,92.66591914,300
2024-03-05,90,Extreme Greed,19791.026041,109.95014467222222,180
2024-03-06,75,Extreme Greed,6814.825139,83.10762364634145,82
2024-03-08,81,Extreme Greed,4271.886236,63.7594960597015,67
2024-03-09,84,Extreme Greed,9949.501624,85.03847541880343,117
2024-03-10,79,Extreme Greed,2482.9272,59.117314285714286,42
2024-03-11,82,Extreme Greed,3588.179495,85.43284511904761,42
2024-03-12,81,Extreme Greed,3039.166,379.89575,8
2024-03-13,81,Extreme Greed,0.0,0.0,7
2024-03-14,88,Extreme Greed,3465.865832,192.5481017777778,18
2024-03-15,83,Extreme Greed,6236.513651,100.58892985483871,62
2024-03-16,81,Extreme Greed,228.57984,28.57248,8
2024-03-17,79,Extreme Greed,503.293955,21.882345869565217,23
